stId,stName,stEmail,stGender,stMarks,stResult
1,Alaine,adelong0@google.it,Female,1,true
2,Ceil,cshillum1@surveymonkey.com,Female,2,false
3,Sid,smoloney2@amazonaws.com,Male,3,false
4,Meade,mgoudard3@engadget.com,Male,4,true
5,Mychal,mlawlings4@wisc.edu,Non-binary,5,true
6,Deonne,dsiflet5@amazon.co.uk,Female,6,true
7,Irina,ienden6@house.gov,Female,7,true
8,Garik,gburrett7@smh.com.au,Male,8,true
9,Yorker,ynilges8@sciencedaily.com,Male,9,false
10,Bank,bashbolt9@businesswire.com,Male,10,true
11,Vania,vsinyarda@pagesperso-orange.fr,Female,11,false
12,Alanson,alelievreb@etsy.com,Male,12,false
13,Linzy,lbiggerstaffc@apple.com,Female,13,true
14,Lambert,lmacconnelld@flavors.me,Male,14,true
15,Ulrick,ugeartye@reverbnation.com,Male,15,true
16,Marguerite,mcrowleyf@weibo.com,Bigender,16,true
17,Felicity,fosbandg@newsvine.com,Female,17,false
18,Briggs,bpaikeh@amazon.com,Male,18,false
19,Lorie,ldurniani@wufoo.com,Female,19,false
20,Emlynne,egrzeszczakj@comsenz.com,Female,20,false
21,Tallie,tseivertsenk@archive.org,Male,21,false
22,Andree,azecchinellil@tumblr.com,Female,22,false
23,Joshia,jsurcombem@redcross.org,Male,23,true
24,Michal,meaclen@independent.co.uk,Female,24,false
25,Haydon,hwickmano@comsenz.com,Male,25,false
26,Delcina,dpargiterp@statcounter.com,Female,26,false
27,Karmen,kkeyhoeq@geocities.com,Female,27,false
28,Reeva,rsussansr@icio.us,Female,28,false
29,Wit,wbrownsells@princeton.edu,Male,29,true
30,Massimiliano,mcoastt@ycombinator.com,Male,30,true
31,Robert,rpringouru@ucla.edu,Male,31,false
32,Dorian,droscampv@google.com,Male,32,false
33,Evered,ejarrattw@shareasale.com,Male,33,false
34,Cart,chughlandx@hexun.com,Male,34,true
35,Immanuel,ishortany@skyrock.com,Male,35,false
36,Ladonna,lbreakspearz@nationalgeographic.com,Female,36,false
37,Nonie,narundel10@goodreads.com,Female,37,false
38,Audre,aharrold11@reuters.com,Female,38,false
39,Manfred,modonnell12@ihg.com,Male,39,true
40,Dodi,dchestnut13@mit.edu,Female,40,false
41,Shara,slomansey14@biglobe.ne.jp,Female,41,false
42,Marcelle,mdownse15@washingtonpost.com,Female,42,false
43,Dorette,dwilsey16@about.com,Female,43,false
44,Jackie,jcoulman17@redcross.org,Female,44,false
45,Meaghan,mlevey18@shinystat.com,Female,45,false
46,Garner,gbrodley19@gnu.org,Male,46,true
47,Tobin,tdulake1a@washington.edu,Male,47,true
48,Elfreda,erizzi1b@merriam-webster.com,Female,48,true
49,Barron,bstranaghan1c@dot.gov,Male,49,false
50,Nobie,nkaysor1d@narod.ru,Male,50,true
51,Hermia,hhanne1e@epa.gov,Female,51,true
52,Ezra,epallin1f@imageshack.us,Male,52,true
53,Obadiah,owillcot1g@epa.gov,Male,53,true
54,Biron,bjills1h@state.gov,Male,54,true
55,Hilary,hspleving1i@i2i.jp,Male,55,true
56,Vin,vmccathie1j@spiegel.de,Male,56,true
57,Mycah,mbrandenberg1k@fema.gov,Male,57,true
58,Clerissa,cbarg1l@patch.com,Female,58,false
59,Wernher,wmcilveen1m@hc360.com,Male,59,true
60,Vikky,vguarnier1n@amazon.co.jp,Female,60,true
61,Salaidh,spedden1o@bluehost.com,Female,61,false
62,Padriac,pjerrans1p@ucoz.ru,Male,62,true
63,Bartie,bseifert1q@wikispaces.com,Male,63,true
64,Hadleigh,hmalin1r@admin.ch,Male,64,true
65,Denna,dfeldstern1s@hc360.com,Female,65,false
66,Swen,sdounbare1t@cbc.ca,Male,66,false
67,Eddie,emaccoveney1u@arizona.edu,Female,67,false
68,Paulo,pohrtmann1v@nih.gov,Male,68,false
69,Jeannine,jhallahan1w@sourceforge.net,Female,69,false
70,Urbanus,upheby1x@people.com.cn,Male,70,true
71,Nalani,nloveman1y@webeden.co.uk,Female,71,true
72,Aland,aflahy1z@blogger.com,Male,72,false
73,Avery,afirebrace20@webmd.com,Male,73,false
74,Royal,rreace21@wikimedia.org,Bigender,74,true
75,Humfrid,hjanjusevic22@ihg.com,Male,75,true
76,Jolee,jbalaisot23@behance.net,Female,76,false
77,Faith,fohrtmann24@opensource.org,Female,77,true
78,Glennie,gyanele25@domainmarket.com,Female,78,true
79,Demeter,dbrothwell26@wordpress.com,Female,79,false
80,Eugene,ekinworthy27@nifty.com,Male,80,true
81,Land,lbonwick28@sphinn.com,Male,81,false
82,Bette-ann,braulin29@tinyurl.com,Female,82,false
83,Meggi,mchinge2a@simplemachines.org,Female,83,true
84,Osbert,obartoshevich2b@ifeng.com,Male,84,true
85,Archy,aughelli2c@tumblr.com,Male,85,false
86,Valentin,vnorthage2d@themeforest.net,Male,86,false
87,Carson,cverrick2e@psu.edu,Male,87,true
88,Fabien,fvigar2f@bloglovin.com,Male,88,true
89,Sayer,stakle2g@tripadvisor.com,Agender,89,true
90,Lesya,lesgate2h@cargocollective.com,Female,90,true
91,Ian,ikisar2i@globo.com,Male,91,true
92,Robina,reskriett2j@delicious.com,Female,92,false
93,Alain,aculshew2k@ox.ac.uk,Male,93,false
94,Scotty,sruncie2l@dedecms.com,Genderfluid,94,false
95,Guenevere,gnolder2m@cocolog-nifty.com,Female,95,true
96,Libbie,llindell2n@addtoany.com,Genderqueer,96,true
97,Cindra,craysdale2o@weather.com,Female,97,true
98,Alexandrina,acota2p@wikipedia.org,Female,98,true
99,Shirlene,stompion2q@zdnet.com,Female,99,false
100,Wally,wbarracks2r@arizona.edu,Female,100,true
